"Handle","Title","Body (HTML)","Vendor","Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","SEO Title","SEO Description","Google Shopping / Google Product Category","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / MPN","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit","Variant Tax Code","Cost per item","Included / France","Price / France","Compare At Price / France","Included / Germany","Price / Germany","Compare At Price / Germany","Included / UK","Price / UK","Compare At Price / UK","Included / US","Price / US","Compare At Price / US"
"hakkebellastikliyarasakolketenelbise","HAKKE Bel Lastikli Yarasa Kol Keten Elbise","Ürün Özellikleri: Materyal Bileşeni. Kaliteli malzeme ile üretilmiştir. Günlük kullanım için ideal. Rahat kesim ve şık tasarım. Uzun ömürlü kullanım için tasarlanmıştır","HAKKE","Giyim","premium, moda, trend, kaliteli","TRUE","Renk","tek renk","Beden","S","","","790728343-tek renk-s","200","shopify","10","deny","manual","557.69","506.99","TRUE","TRUE","","https://cdn.dsmcdn.com/ty1102/product/media/images/prod/SPM/PIM/20231222/09/1aee7899-050f-3e0c-9d77-5aa40c357fcd/1_org.jpg","1","HAKKE Bel Lastikli Yarasa Kol Keten Elbise - tek renk","FALSE","HAKKE Bel Lastikli Yarasa Kol Keten Elbise","HAKKE Bel Lastikli Yarasa Kol Keten Elbise - Yüksek kaliteli ürün","Apparel & Accessories > Clothing","unisex","adult","790728343-tek renk-s","","","new","FALSE","","","","","","https://cdn.dsmcdn.com/ty1101/product/media/images/prod/SPM/PIM/20231222/09/0c06754a-cddc-3167-ac0d-81bcb46dc2b9/1_org.jpg","g","","380.24","","","","","","","","","","","",""
"hakkebellastikliyarasakolketenelbise","","","","","","TRUE","","tek renk","","M","","","790728343-tek renk-m","200","shopify","10","deny","manual","557.69","506.99","TRUE","TRUE","","","","","FALSE","","","Apparel & Accessories > Clothing","unisex","adult","790728343-tek renk-m","","","new","FALSE","","","","","","https://cdn.dsmcdn.com/ty1102/product/media/images/prod/SPM/PIM/20231222/09/1ebcd50d-1518-3437-84d0-6040384003a9/1_org.jpg","g","","380.24","","","","","","","","","","","",""
"hakkebellastikliyarasakolketenelbise","","","","","","TRUE","","tek renk","","L","","","790728343-tek renk-l","200","shopify","10","deny","manual","557.69","506.99","TRUE","TRUE","","","","","FALSE","","","Apparel & Accessories > Clothing","unisex","adult","790728343-tek renk-l","","","new","FALSE","","","","","","https://cdn.dsmcdn.com/ty1102/product/media/images/prod/SPM/PIM/20231222/09/1aee7899-050f-3e0c-9d77-5aa40c357fcd/1_org.jpg","g","","380.24","","","","","","","","","","","",""
"genelmarkalarkadnyazlkuyakaaltortluelbise","Genel Markalar Kadın Yazlık U Yaka Altı Şortlu Elbise","Kaliteli malzeme ile üretilmiştir. Günlük kullanım için ideal. Rahat kesim ve şık tasarım. Uzun ömürlü kullanım için tasarlanmıştır","Genel","Giyim","premium, moda, trend, kaliteli","TRUE","Renk","tek renk","Beden","XS","","","898707348-tek renk-xs","200","shopify","10","deny","manual","353.10","321","TRUE","TRUE","","https://cdn.dsmcdn.com/ty1635/prod/QC/20250211/00/39ffe394-984b-383a-832e-e1704ece3694/1_org.jpg","1","Genel Markalar Kadın Yazlık U Yaka Altı Şortlu Elbise - tek renk","FALSE","Genel Markalar Kadın Yazlık U Yaka Altı Şortlu Elbise","Genel Markalar Kadın Yazlık U Yaka Altı Şortlu Elbise - Yüksek kaliteli ürün","Apparel & Accessories > Clothing","unisex","adult","898707348-tek renk-xs","","","new","FALSE","","","","","","https://cdn.dsmcdn.com/ty1635/prod/QC/20250211/00/46de102f-0fd9-3a74-b3b2-c7b480ea6305/1_org.jpg","g","","240.75","","","","","","","","","","","",""
"genelmarkalarkadnyazlkuyakaaltortluelbise","","","","","","TRUE","","tek renk","","S","","","898707348-tek renk-s","200","shopify","10","deny","manual","353.10","321","TRUE","TRUE","","","","","FALSE","","","Apparel & Accessories > Clothing","unisex","adult","898707348-tek renk-s","","","new","FALSE","","","","","","https://cdn.dsmcdn.com/ty1635/prod/QC/20250211/00/b87dd821-a704-3fd0-ada0-f3f6d86d06e5/1_org.jpg","g","","240.75","","","","","","","","","","","",""
"genelmarkalarkadnyazlkuyakaaltortluelbise","","","","","","TRUE","","tek renk","","M","","","898707348-tek renk-m","200","shopify","10","deny","manual","353.10","321","TRUE","TRUE","","","","","FALSE","","","Apparel & Accessories > Clothing","unisex","adult","898707348-tek renk-m","","","new","FALSE","","","","","","https://cdn.dsmcdn.com/ty1637/prod/QC/20250211/00/1a27422b-8c13-395e-a143-e107dda91039/1_org.jpg","g","","240.75","","","","","","","","","","","",""
"genelmarkalarkadnyazlkuyakaaltortluelbise","","","","","","TRUE","","tek renk","","L","","","898707348-tek renk-l","200","shopify","10","deny","manual","353.10","321","TRUE","TRUE","","","","","FALSE","","","Apparel & Accessories > Clothing","unisex","adult","898707348-tek renk-l","","","new","FALSE","","","","","","https://cdn.dsmcdn.com/ty1691/prod/QC_PREP/20250611/13/1c342285-8aec-3b33-b131-f10932641a2c/1_org.jpg","g","","240.75","","","","","","","","","","","",""
"genelmarkalarkadnyazlkuyakaaltortluelbise","","","","","","TRUE","","tek renk","","XL","","","898707348-tek renk-xl","200","shopify","10","deny","manual","353.10","321","TRUE","TRUE","","","","","FALSE","","","Apparel & Accessories > Clothing","unisex","adult","898707348-tek renk-xl","","","new","FALSE","","","","","","https://cdn.dsmcdn.com/ty1632/prod/QC/20250206/22/bc11dbd8-d04d-3ab9-aa1d-9b2ff6338b11/1_org.jpg","g","","240.75","","","","","","","","","","","",""
"genelmarkalarkadnyazlkuyakaaltortluelbise","","","","","","TRUE","","tek renk","","2XL","","","898707348-tek renk-2xl","200","shopify","10","deny","manual","353.10","321","TRUE","TRUE","","","","","FALSE","","","Apparel & Accessories > Clothing","unisex","adult","898707348-tek renk-2xl","","","new","FALSE","","","","","","https://cdn.dsmcdn.com/ty1656/prod/QC/20250331/23/bda58f6d-dca0-3abb-b024-8d86712d7447/1_org.jpg","g","","240.75","","","","","","","","","","","",""
"modernizekadnrahatkesimkimonosiyahbeyazaltuzunstyazlktakm","MODERNİZE Kadın Rahat Kesim Kimono SİYAH & BEYAZ  Alt Uzun Üst Yazlık Takım","Ürün Özellikleri: Satıcı Ünvanı: DSM GRUP DANIŞMANLIK İLETİŞİM VE SATIŞ TİCARET ANONİM ŞİRKETİ, Satıcı Ünvanı: DSM GRUP DANIŞMANLIK İLETİŞİM VE SATIŞ TİCARET ANONİM ŞİRKETİ. Kaliteli malzeme ile üretilmiştir. Günlük kullanım için ideal. Rahat kesim ve şık tasarım. Uzun ömürlü kullanım için tasarlanmıştır","MODERNİZE","Giyim","premium, moda, trend, kaliteli","TRUE","Renk","tek renk","Beden","36","","","822876559-tek renk-36","200","shopify","10","deny","manual","482.89","438.99","TRUE","TRUE","","https://cdn.dsmcdn.com/ty1357/product/media/images/prod/QC/20240610/21/366d462a-1577-34d5-b158-bfaed465f286/1_org.jpg","1","MODERNİZE Kadın Rahat Kesim Kimono SİYAH & BEYAZ  Alt Uzun Üst Yazlık Takım - tek renk","FALSE","MODERNİZE Kadın Rahat Kesim Kimono SİYAH & BEYAZ  Alt Uzun Üst Yazlık Takım","MODERNİZE Kadın Rahat Kesim Kimono SİYAH & BEYAZ  Alt Uzun Üst Yazlık Takım - Yüksek kaliteli ürün","Apparel & Accessories > Clothing","unisex","adult","822876559-tek renk-36","","","new","FALSE","","","","","","https://cdn.dsmcdn.com/ty1358/product/media/images/prod/QC/20240610/21/f727d410-988c-3cb4-8a72-01a6a6de3600/1_org.jpg","g","","329.24","","","","","","","","","","","",""
